SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
PR,DEPUTADO FEDERAL,4041,PROFESSORA SONIA GIMENEZ,40,PSB
PE,DEPUTADO FEDERAL,1011,EDNO MELO,10,REPUBLICANOS
SP,DEPUTADO FEDERAL,4578,PROFESSORA VERA,45,PSDB
PA,DEPUTADO ESTADUAL,13636,GUSM�O DO PAR�,13,PT
DF,DEPUTADO DISTRITAL,36061,DJ JAMAIKA,36,AGIR
BA,DEPUTADO ESTADUAL,20999,CAPIT�O VASCONCELOS,20,PSC
CE,DEPUTADO ESTADUAL,14500,ROSANGELA REBOU�AS,14,PTB
SP,DEPUTADO ESTADUAL,22800,CLODOALDO DE MORAES,22,PL
SP,DEPUTADO FEDERAL,1170,CORONEL RONY,11,PP
PA,DEPUTADO ESTADUAL,45456,ROMILDA ALVES,45,PSDB
SE,DEPUTADO FEDERAL,5577,NITINHO,55,PSD
AC,DEPUTADO ESTADUAL,50233,LEANDRO CABRAL,50,PSOL
SP,1� SUPLENTE,270,JOSE CARLOS EYMAEL,27,DC
SC,DEPUTADO ESTADUAL,11470,CATTONI,11,PP
RO,DEPUTADO ESTADUAL,14222,PROFESSOR ALEKS PALITOT,14,PTB
AP,DEPUTADO ESTADUAL,20200,NEIDE KNB,20,PSC
MG,DEPUTADO ESTADUAL,23222,LEANDRA GOMES,23,CIDADANIA
GO,DEPUTADO ESTADUAL,77456,TI�O DO JORNAL,77,SOLIDARIEDADE
SP,DEPUTADO ESTADUAL,44611,VIVI CASAMASSA,44,UNI�O
GO,DEPUTADO FEDERAL,9010,ANDR� DA AMAD,90,PROS
RO,DEPUTADO FEDERAL,2260,ANAL�CIA,22,PL
SE,DEPUTADO FEDERAL,2310,JORDANA DE NE�POLIS,23,CIDADANIA
PA,DEPUTADO ESTADUAL,20017,SINARA AMORIM,20,PSC
PA,DEPUTADO ESTADUAL,20151,JEUZABINA,20,PSC
RS,DEPUTADO FEDERAL,7723,JAQUELINE KITTELMANN,77,SOLIDARIEDADE
PE,DEPUTADO ESTADUAL,40707,COSETE CAMARA,40,PSB
MG,DEPUTADO FEDERAL,1520,MA�RA CARLOS,15,MDB
SC,DEPUTADO ESTADUAL,13031,MARISA ZANONI,13,PT
BA,DEPUTADO FEDERAL,4544,MARTA HELENA,45,PSDB
RR,DEPUTADO ESTADUAL,77234,ARIDAN MAIA,77,SOLIDARIEDADE
PA,DEPUTADO ESTADUAL,13513,PROFESSOR LEIRSON,13,PT
MG,DEPUTADO FEDERAL,1231,JACQUELINE BRASIL,12,PDT
BA,DEPUTADO FEDERAL,1944,JOTA OLIVEIRA,19,PODE
AP,DEPUTADO ESTADUAL,22580,NUBIA QUILOMBOLA,22,PL
GO,DEPUTADO FEDERAL,3622,ALEX MEIRELLES,36,AGIR
PR,DEPUTADO FEDERAL,2010,CAPOEIRA,20,PSC
